,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
206,🇭🇰,Hiu Yau Chow,1,0,0,0,0,103.11,1,53.67,1,51.99,1,51.12,1,3.06,10,2.86,6,2.11,2,Null,0,4.48,2,4.1,2,4.27,2,4.4,2,4.33,2
207,🇭🇷,Hana Cvijanovic,1,1,0,0,0,102.86,2,52.79,2,49.07,2,56.29,2,2.25,20,3.12,12,3.14,4,3.2,1,4.79,4,4.56,4,4.77,4,4.78,4,4.89,4
208,🇹🇷,Anna Deniz Ozdemir,1,0,0,0,0,102.74,1,51.43,1,47.08,1,55.66,1,2.36,10,2.83,6,3.26,2,Null,0,4.71,2,4.54,2,4.66,2,4.66,2,4.77,2
209,🇺🇦,Anastasiia Fomchenkova,1,0,0,0,0,102.7,1,57.93,1,53.29,1,52.41,1,3.29,10,2.81,6,1.78,2,Null,0,4.68,2,4.1,2,4.48,2,4.54,2,4.41,2
210,🇦🇹,Jasmin Elsebaie,1,0,0,0,0,102.52,1,53.08,1,50.35,1,55.17,1,2.77,10,3.01,6,2.32,2,Null,0,4.56,2,4.5,2,4.62,2,4.62,2,4.64,2
211,🇭🇺,Lili Krizsanovszki,1,0,0,0,0,102.43,1,59.09,1,50.55,1,54.88,1,2.76,10,2.92,6,2.73,2,Null,0,4.84,2,4.43,2,4.54,2,4.66,2,4.71,2
212,🇮🇱,Ivetta Berkovich,1,0,0,0,0,102.33,1,52.44,1,46.2,1,57.13,1,2.26,10,2.9,6,3.1,2,Null,0,5.18,2,4.56,2,4.76,2,4.89,2,4.7,2
213,🇬🇧,Arabella Sear-Watkins,1,0,0,0,0,101.92,1,56.47,1,51,1,51.92,1,2.92,10,2.89,6,2.26,2,Null,0,4.62,2,4.25,2,4.21,2,4.5,2,4.28,2
214,🇷🇴,Ana Sofia Beschea,1,0,0,0,0,101.38,1,56.89,1,51.38,1,52,1,2.89,10,3,6,2.22,2,Null,0,4.38,2,4.22,2,4.38,2,4.32,2,4.39,2
215,🇲🇽,Andrea Astrain Maynez,1,0,0,0,0,100.78,1,52.45,1,47.32,1,55.46,1,2.21,10,2.97,6,3.68,2,Null,0,4.84,2,4.42,2,4.43,2,4.8,2,4.78,2
216,🇺🇦,Taisiia Spesivtseva,1,0,0,0,0,100.61,1,56.82,1,48.81,1,54.8,1,2.5,10,3.21,6,2.31,2,Null,0,4.62,2,4.38,2,4.6,2,4.58,2,4.67,2
217,🇹🇷,Ceren Karas,1,0,0,0,0,100.59,1,51.89,1,48.59,1,54,1,2.63,10,2.91,6,2.42,2,Null,0,4.68,2,4.38,2,4.5,2,4.52,2,4.62,2
218,🇰🇿,Bagdana Rakhishova,1,2,0,0,0,100.28,3,54.85,3,49.1,3,51.84,3,2.41,30,2.96,18,2.6,6,3.08,2,4.53,6,4.2,6,4.36,6,4.38,6,4.32,6
219,🇸🇰,Ema Doboszova,1,0,0,0,0,99.8,1,61.08,1,51.12,1,51.68,1,2.69,10,3.06,6,2.92,2,Null,0,4.64,2,4.22,2,4.25,2,4.32,2,4.34,2
220,🇭🇷,Meri Marinac,1,0,0,0,0,99.51,1,50.1,1,46.28,1,56.23,1,2.86,10,2.36,6,1.77,2,Null,0,4.73,2,4.65,2,4.58,2,4.88,2,4.73,2
221,🇱🇹,Marija Brejeva,1,0,0,0,0,98.38,1,53.55,1,44.35,1,54.03,1,3.04,10,1.71,6,1.82,2,Null,0,4.74,2,4.3,2,4.5,2,4.62,2,4.5,2
222,🇺🇿,Amaliya Sulaymonova,1,0,0,0,0,98.2,1,46.84,1,45.99,1,52.21,1,2.47,10,2.84,6,2.12,2,Null,0,4.54,2,4.16,2,4.42,2,4.4,2,4.45,2
223,🇩🇰,Babeth Hansson-Ostergaard,1,0,0,0,0,97.82,1,56.85,1,48.21,1,54.61,1,2.47,10,3.11,6,2.43,2,Null,0,4.59,2,4.64,2,4.54,2,4.74,2,4.59,2
224,🇱🇺,Gemma Marshall,1,0,0,0,0,97.6,1,53,1,47.57,1,52.03,1,2.38,10,2.96,6,3.01,2,Null,0,4.44,2,4.2,2,4.34,2,4.26,2,4.34,2
225,🇰🇿,Anastassiya Lobanova,0,1,0,0,0,96.58,1,46.4,1,42.26,1,56.32,1,2.37,10,1.9,6,2.16,2,2.8,1,5.2,2,4.6,2,4.7,2,4.82,2,4.62,2
226,🇰🇿,Yasmin Tekik,0,1,0,0,0,96.07,1,47.78,1,40.71,1,61.36,1,1.75,10,2.53,6,2.35,2,3.3,1,5.6,2,5.15,2,4.92,2,5.22,2,5.12,2
