,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nStepSeq,MeanChor Seq,nChorSeq,MeanSS,nSS,MeanTR,nTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
60,🇨🇦,Stephen Gogolev,0,1,0,0,0,206.17,1,98.51,1,99.82,1,108.35,1,7.69,10,2.17,6,3.13,2,3.6,1,7.35,2,7.02,2,7.18,2,7.28,2,7.25,2
61,🇮🇹,Gabriele Frangipani,0,2,2,1,0,205.89,5,105.85,5,101.39,5,106.7,5,7.21,50,3.14,30,3.77,10,2.93,5,7.16,10,6.9,10,7.07,10,7.2,10,7.21,10
62,🇮🇹,Nikolaj Memola,1,1,0,1,0,205.25,3,100.18,3,101.39,3,104.19,3,7.15,30,3.3,18,3.86,6,3.56,2,6.81,6,6.63,6,6.98,6,6.94,6,7.12,6
63,🇪🇪,Mihhail Selevko,2,3,0,0,0,205.18,5,99.33,5,102.04,5,104.94,5,6.89,50,3.75,30,4.16,10,3.83,3,7.07,10,6.79,10,6.97,10,7.07,10,7.04,10
64,🇺🇦,Ivan Shmuratko,0,2,0,1,0,204.69,3,99.22,3,97.07,3,108.95,3,6.44,30,3.66,18,3.56,6,3.56,3,7.36,6,7.05,6,7.25,6,7.33,6,7.39,6
65,🇩🇪,Nikita Starostin,0,3,0,1,0,204.18,4,102.07,4,101.52,4,103.9,4,6.81,40,3.64,24,4.13,8,3.36,4,6.86,8,6.62,8,6.94,8,6.9,8,6.99,8
66,🇩🇪,Paul Fentz,0,2,0,1,1,202.13,3,98.32,3,97.19,3,106.27,3,6.54,33,3.19,21,3.25,7,3.87,3,7.24,6,6.79,6,6.89,6,7.06,6,7.12,6
67,🇷🇺,Fedor Zonov,1,0,0,0,0,201.28,1,90.55,1,100.6,1,101.68,1,6.67,10,4.32,6,3.98,2,Null,0,6.62,2,6.44,2,6.72,2,6.77,2,6.91,2
68,🇺🇸,Eric Sjoberg,0,2,0,0,0,201.08,2,93.54,2,98.62,2,103.45,2,6.87,20,3.4,12,2.9,4,3.7,2,6.98,4,6.68,4,6.78,4,6.96,4,6.85,4
69,🇨🇳,Yudong Chen,0,0,1,0,0,200.96,1,108.43,1,101.68,1,104.28,1,6.78,10,3.79,6,3.8,2,3.57,1,7.27,2,6.77,2,6.86,2,7.11,2,7.04,2
70,🇺🇸,William Annis,2,0,0,0,0,200.86,2,105.94,2,103.44,2,98.92,2,7.65,20,3.21,12,3.84,4,Null,0,6.84,4,6.39,4,6.54,4,6.65,4,6.59,4
71,🇦🇹,Maurizio Zandron,0,3,0,1,0,198.04,4,99.37,4,96.47,4,102.33,4,6.42,40,3.3,24,4.34,8,3.83,4,6.76,8,6.6,8,6.78,8,6.89,8,6.98,8
72,🇨🇦,Corey Circelli,2,1,0,1,0,196.98,4,90.74,4,93.84,4,104.39,4,6.28,40,3.55,24,3.67,8,4.72,2,6.98,8,6.77,8,6.87,8,7.09,8,7.1,8
73,🇬🇧,Peter James Hallam,0,1,0,0,0,196.39,1,94.17,1,95.38,1,102.01,1,6.1,10,3.75,6,3.8,2,4.25,1,6.66,2,6.62,2,6.8,2,6.71,2,6.98,2
74,🇮🇱,Mark Gorodnitsky,0,2,0,0,0,196.25,2,91.3,2,95.48,2,101.28,2,6.39,20,3.55,12,3.38,4,3.5,2,6.92,4,6.54,4,6.74,4,6.79,4,6.75,4
75,🇺🇸,Lucas Broussard,2,0,0,0,0,195.54,2,94.73,2,97.74,2,98.8,2,6.97,20,3.58,12,3.28,4,Null,0,6.44,4,6.3,4,6.46,4,6.62,4,6.63,4
76,🇺🇸,Jacob Sanchez,1,0,0,0,0,194.03,1,86.43,1,94.18,1,99.85,1,6.21,10,4.04,6,3.94,2,Null,0,6.5,2,6.4,2,6.69,2,6.82,2,6.79,2
77,🇸🇪,Nikolaj Majorov,0,2,0,0,0,193.78,2,90.94,2,88.6,2,109.19,2,5.55,20,3.37,12,4.39,4,4.12,2,7.47,4,7.08,4,7.22,4,7.5,4,7.58,4
78,🇷🇺,Andrei Anisimov,2,0,0,0,0,193.42,2,100.79,2,97.24,2,97.18,2,6.97,20,3.28,12,3.94,4,Null,0,6.86,4,6.26,4,6.51,4,6.55,4,6.54,4
79,🇫🇷,Adrien Tesson,0,2,0,0,0,193.28,2,91.12,2,91.8,2,101.48,2,6.01,20,3.38,12,3.85,4,3.7,2,6.64,4,6.46,4,6.8,4,6.78,4,6.91,4
80,🇲🇽,Donovan Carrillo,0,1,0,0,0,192.54,1,97.46,1,93.68,1,100.86,1,5.82,10,3.92,6,4.36,2,3.33,1,6.78,2,6.44,2,6.71,2,7.1,2,6.92,2
81,🇺🇸,Matthew Nielsen,1,0,0,0,0,192.38,1,89.97,1,96.56,1,95.82,1,6.55,10,3.76,6,4.23,2,Null,0,6.5,2,6.11,2,6.39,2,6.54,2,6.36,2
82,🇭🇷,Jari Kessler,0,3,0,0,0,191.92,3,85.02,3,90.83,3,103.09,3,5.54,33,3.37,21,4.45,7,4.28,3,6.75,6,6.6,6,6.64,6,6.86,6,6.85,6
83,🇨🇿,Georgii Reshtenko,2,3,0,0,0,191.67,5,101.33,5,97.68,5,94.79,5,6.88,50,3.22,30,3.67,10,3.77,3,6.41,10,6.03,10,6.28,10,6.37,10,6.32,10
84,🇵🇱,Vladimir Samoilov,0,1,0,0,0,190.35,1,99.65,1,96.05,1,97.3,1,6.59,10,3.26,6,3.7,2,3.2,1,6.7,2,6.3,2,6.45,2,6.58,2,6.42,2
85,🇹🇷,Burak Demirboga,0,3,0,1,0,189.84,4,93.64,4,93.58,4,96.52,4,6.58,40,2.95,24,3.44,8,3.23,4,6.62,8,6.24,8,6.47,8,6.48,8,6.52,8
86,🇧🇾,Konstantin Milyukov,0,3,0,1,0,189.24,4,97.2,4,90.87,4,100.62,4,6.34,40,2.86,24,3.41,8,3.53,4,6.88,8,6.54,8,6.62,8,6.82,8,6.78,8
87,🇸🇪,Andreas Nordebäck,2,0,0,0,0,189.05,2,85.17,2,89.98,2,99.56,2,6.2,20,3.19,12,4.41,4,Null,0,6.59,4,6.45,4,6.54,4,6.62,4,6.77,4
88,🇹🇷,Başar Oktar,0,3,0,0,0,188.83,3,97.11,3,94.52,3,94.64,3,6.52,30,3.3,18,3.39,6,2.73,3,6.5,6,6.11,6,6.32,6,6.35,6,6.29,6
89,🇪🇸,Tomás Guarino Sabaté,0,3,0,1,0,188.8,4,91.46,4,93.06,4,96.74,4,6.4,40,3.1,24,3.58,8,3.27,4,6.51,8,6.12,8,6.39,8,6.45,8,6.51,8
90,🇨🇭,Nicola Todeschini,0,2,0,0,0,188.28,2,92.15,2,92.61,2,96.68,2,6.06,20,3.48,12,3.82,4,3.49,2,6.6,4,6.1,4,6.43,4,6.34,4,6.48,4
91,🇰🇷,Jaekeun Lee,1,0,0,0,0,188.2,1,79.17,1,87.75,1,101.45,1,6,10,3.12,6,4.56,2,Null,0,6.91,2,6.57,2,6.86,2,6.91,2,6.78,2
92,🇰🇷,Jaeseok Kyeong,0,0,0,1,0,187.97,1,96.03,1,92.02,1,97.95,1,5.74,10,3.7,6,4.26,2,3.92,1,6.66,2,6.29,2,6.44,2,6.64,2,6.54,2
93,🇰🇷,Younghyun Cha,2,0,0,0,0,186.81,2,86.1,2,90.96,2,95.86,2,6.4,20,3.18,12,3.95,4,Null,0,6.51,4,6.22,4,6.34,4,6.47,4,6.33,4
94,🇲🇨,Davidé Lewton Brain,0,2,0,1,0,184.61,3,83.64,3,87.39,3,97.88,3,5.5,30,3.61,18,3.62,6,3.53,3,6.63,6,6.34,6,6.56,6,6.59,6,6.69,6
95,🇨🇭,Naoki Rossi,2,0,0,0,0,184.19,2,85.54,2,89.85,2,95.34,2,5.84,20,3.87,12,4.1,4,Null,0,6.27,4,6.15,4,6.42,4,6.47,4,6.5,4
96,🇦🇹,Luc Maierhofer,0,3,0,0,0,184.03,3,88.57,3,89.09,3,95.61,3,5.96,30,3.37,18,3.27,6,2.77,3,6.49,6,6.2,6,6.37,6,6.5,6,6.44,6
97,🇮🇱,Daniel Samohin,0,2,0,0,0,183.74,2,96.26,2,82.69,2,105.55,2,4.93,20,3.55,12,4.28,4,3.55,2,7.22,4,6.86,4,6.96,4,7.12,4,7.08,4
98,🇦🇲,Slavik Hayrapetyan,0,1,0,1,0,183.66,2,86.08,2,85.53,2,99.12,2,5.73,20,3.1,12,3.24,4,3.2,2,6.71,4,6.44,4,6.56,4,6.65,4,6.66,4
99,🇫🇷,Francois Pitot,2,0,0,0,0,183.32,2,93.04,2,92.14,2,93.17,2,6.55,20,3.16,12,3.84,4,Null,0,6.24,4,5.9,4,6.22,4,6.26,4,6.26,4
100,🇬🇧,Graham Newberry,0,1,0,0,0,182.33,1,101.25,1,93.83,1,90.5,1,6.11,13,3.48,9,3.73,3,3.7,1,6.37,2,5.98,2,6.27,2,6.3,2,6.29,2
101,🇵🇱,Kornel Witkowski,0,1,0,1,0,182.02,2,94.64,2,87.08,2,97.95,2,5.9,20,2.99,12,3.38,4,3.4,2,6.7,4,6.32,4,6.38,4,6.57,4,6.61,4
102,🇹🇼,Yuhsiang Li,2,0,0,0,0,180.14,2,87.79,2,89.08,2,91.07,2,6.09,20,3.54,12,3.45,4,Null,0,5.94,4,5.72,4,6.12,4,6.08,4,6.04,4
